timestamp,city,weather,description,aqi
2025-11-04 14:45:21.806607,Delhi,304.22,Haze,Moderate
2025-11-04 14:45:29.102326,Delhi,304.22,Haze,Moderate
2025-11-04 14:59:17.869497,Bengaluru,299.72,Clouds,Fair
2025-11-04 15:00:58.281993,Ram Nagar,304.19,Haze,Moderate
2025-11-09 13:29:56.875226,Bengaluru,300.05,Clear,Moderate
2025-11-19 21:03:07.368700,Delhi,290.99,Haze,Very Poor
2025-11-19 21:17:13.632476,Delhi,289.99,Mist,Very Poor
2025-11-22 15:35:40.108299,Indira Gandhi International Airport,299.14,Haze,Very Poor
2025-11-22 15:39:21.809410,Indira Gandhi International Airport,299.14,Haze,Very Poor
2025-11-22 15:42:30.051212,Indira Gandhi International Airport,299.14,Haze,Very Poor
